Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Rape,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-04-22,6.0,9.0,43.0,4.0,11.0,2.0,4.0,7.0,8.0,11.0,24.0,,,12.0,4.0,7.0,20.0,10.0,21.0,
2006-04-23,1.0,7.0,64.0,1.0,5.0,12.0,2.0,5.0,6.0,21.0,24.0,2.0,3.0,21.0,2.0,5.0,19.0,19.0,32.0,1.0
2006-04-24,4.0,9.0,55.0,7.0,14.0,3.0,3.0,19.0,10.0,19.0,43.0,5.0,2.0,12.0,8.0,7.0,30.0,26.0,30.0,1.0
2006-04-25,2.0,9.0,49.0,,11.0,4.0,2.0,9.0,12.0,18.0,40.0,4.0,1.0,9.0,11.0,4.0,21.0,30.0,25.0,
2006-04-26,5.0,5.0,52.0,5.0,9.0,6.0,13.0,12.0,8.0,31.0,30.0,2.0,2.0,15.0,5.0,2.0,23.0,28.0,22.0,5.0
2006-04-27,2.0,7.0,51.0,4.0,8.0,5.0,5.0,9.0,8.0,13.0,29.0,2.0,,11.0,1.0,7.0,14.0,26.0,20.0,3.0
2006-04-28,7.0,12.0,27.0,2.0,13.0,5.0,4.0,14.0,8.0,10.0,29.0,1.0,2.0,14.0,6.0,13.0,17.0,21.0,20.0,3.0
2006-04-29,6.0,7.0,61.0,1.0,10.0,3.0,3.0,7.0,8.0,15.0,27.0,,4.0,5.0,9.0,4.0,16.0,22.0,28.0,1.0
2006-04-30,6.0,15.0,59.0,3.0,9.0,5.0,2.0,2.0,6.0,8.0,43.0,1.0,1.0,6.0,7.0,3.0,17.0,21.0,30.0,
2006-05-01,3.0,10.0,35.0,2.0,11.0,,2.0,12.0,10.0,14.0,39.0,5.0,2.0,12.0,9.0,7.0,27.0,23.0,29.0,6.0
