Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-03-31,6.0,22.0,79.0,5.0,13.0,16.0,8.0,25.0,14.0,32.0,61.0,3.0,,25.0,10.0,12.0,32.0,34.0,54.0,5.0
2006-04-01,7.0,12.0,113.0,5.0,12.0,13.0,9.0,8.0,10.0,39.0,63.0,1.0,9.0,21.0,6.0,11.0,25.0,27.0,41.0,2.0
2006-04-02,7.0,22.0,115.0,1.0,10.0,17.0,6.0,2.0,9.0,23.0,43.0,4.0,,15.0,5.0,3.0,27.0,28.0,54.0,2.0
2006-04-03,3.0,11.0,80.0,8.0,22.0,13.0,2.0,19.0,24.0,32.0,71.0,3.0,,21.0,8.0,11.0,21.0,35.0,48.0,1.0
2006-04-04,5.0,5.0,107.0,4.0,14.0,3.0,5.0,25.0,18.0,48.0,62.0,3.0,,29.0,14.0,10.0,35.0,41.0,39.0,7.0
2006-04-05,7.0,10.0,72.0,3.0,11.0,7.0,6.0,21.0,13.0,34.0,57.0,9.0,6.0,18.0,9.0,2.0,36.0,35.0,47.0,3.0
2006-04-06,6.0,18.0,98.0,8.0,18.0,4.0,10.0,9.0,19.0,45.0,76.0,3.0,5.0,19.0,6.0,12.0,20.0,37.0,31.0,4.0
2006-04-07,5.0,17.0,65.0,4.0,22.0,7.0,6.0,22.0,17.0,37.0,71.0,4.0,4.0,16.0,13.0,12.0,26.0,46.0,39.0,8.0
2006-04-08,5.0,15.0,102.0,6.0,13.0,14.0,9.0,9.0,13.0,29.0,48.0,,,23.0,11.0,9.0,18.0,32.0,40.0,6.0
2006-04-09,4.0,17.0,146.0,2.0,8.0,19.0,6.0,5.0,19.0,20.0,73.0,5.0,,19.0,9.0,9.0,35.0,28.0,44.0,1.0
2006-04-10,5.0,11.0,195.0,3.0,19.0,6.0,2.0,22.0,17.0,35.0,67.0,2.0,,20.0,12.0,10.0,32.0,50.0,67.0,
2006-04-11,2.0,17.0,179.0,3.0,8.0,3.0,8.0,23.0,13.0,40.0,42.0,2.0,8.0,23.0,9.0,10.0,16.0,38.0,63.0,4.0
2006-04-12,6.0,15.0,181.0,6.0,17.0,11.0,8.0,18.0,25.0,36.0,59.0,4.0,8.0,30.0,11.0,8.0,32.0,41.0,47.0,2.0
2006-04-13,7.0,10.0,176.0,5.0,13.0,8.0,11.0,25.0,16.0,38.0,40.0,5.0,3.0,14.0,12.0,15.0,29.0,25.0,50.0,3.0
2006-04-14,8.0,17.0,163.0,2.0,7.0,10.0,13.0,21.0,13.0,28.0,46.0,4.0,,16.0,9.0,11.0,28.0,32.0,59.0,7.0
2006-04-15,10.0,21.0,153.0,4.0,16.0,17.0,6.0,12.0,11.0,26.0,44.0,,4.0,13.0,10.0,9.0,28.0,43.0,58.0,2.0
2006-04-16,5.0,18.0,114.0,6.0,10.0,15.0,6.0,7.0,16.0,7.0,56.0,2.0,,10.0,6.0,8.0,25.0,22.0,43.0,4.0
2006-04-17,7.0,15.0,117.0,8.0,14.0,5.0,8.0,24.0,20.0,26.0,61.0,4.0,,16.0,6.0,5.0,31.0,35.0,62.0,5.0
2006-04-18,14.0,24.0,97.0,7.0,17.0,3.0,6.0,30.0,22.0,52.0,71.0,6.0,6.0,28.0,6.0,6.0,10.0,44.0,48.0,4.0
2006-04-19,7.0,16.0,97.0,6.0,21.0,6.0,13.0,26.0,14.0,49.0,67.0,4.0,5.0,24.0,14.0,12.0,28.0,42.0,48.0,8.0
2006-04-20,7.0,14.0,101.0,3.0,12.0,5.0,14.0,29.0,19.0,39.0,73.0,4.0,16.0,19.0,12.0,10.0,22.0,39.0,42.0,3.0
2006-04-21,4.0,15.0,61.0,2.0,22.0,7.0,9.0,18.0,25.0,29.0,87.0,6.0,2.0,24.0,18.0,11.0,29.0,29.0,48.0,3.0
2006-04-22,7.0,11.0,62.0,8.0,19.0,16.0,6.0,16.0,20.0,15.0,54.0,1.0,5.0,23.0,15.0,9.0,27.0,25.0,31.0,
2006-04-23,6.0,14.0,66.0,9.0,10.0,8.0,11.0,5.0,18.0,39.0,65.0,3.0,,25.0,10.0,9.0,30.0,30.0,52.0,3.0
2006-04-24,7.0,17.0,69.0,7.0,14.0,5.0,7.0,32.0,8.0,27.0,72.0,8.0,,27.0,11.0,10.0,39.0,40.0,44.0,3.0
2006-04-25,1.0,15.0,92.0,5.0,15.0,5.0,14.0,24.0,22.0,38.0,70.0,6.0,,30.0,15.0,9.0,35.0,44.0,49.0,1.0
2006-04-26,6.0,6.0,98.0,6.0,21.0,10.0,17.0,27.0,14.0,54.0,73.0,7.0,2.0,15.0,8.0,11.0,39.0,44.0,40.0,9.0
2006-04-27,7.0,12.0,109.0,10.0,15.0,7.0,12.0,19.0,20.0,39.0,68.0,6.0,4.0,20.0,9.0,13.0,20.0,37.0,40.0,8.0
2006-04-28,12.0,18.0,56.0,7.0,16.0,7.0,7.0,31.0,22.0,26.0,62.0,4.0,6.0,22.0,11.0,16.0,27.0,46.0,45.0,4.0
2006-04-29,14.0,20.0,111.0,6.0,16.0,11.0,6.0,11.0,18.0,24.0,63.0,3.0,,15.0,15.0,5.0,22.0,33.0,49.0,1.0
2006-04-30,15.0,29.0,111.0,3.0,9.0,12.0,9.0,7.0,12.0,10.0,76.0,1.0,,27.0,14.0,9.0,32.0,31.0,39.0,1.0
2006-05-01,11.0,13.0,78.0,3.0,15.0,4.0,4.0,18.0,19.0,27.0,74.0,12.0,,27.0,11.0,6.0,44.0,44.0,48.0,9.0
2006-05-02,10.0,16.0,138.0,8.0,18.0,4.0,6.0,17.0,12.0,51.0,63.0,7.0,6.0,25.0,10.0,12.0,39.0,47.0,48.0,5.0
2006-05-03,11.0,23.0,90.0,10.0,17.0,11.0,17.0,22.0,20.0,47.0,66.0,5.0,11.0,20.0,12.0,15.0,20.0,43.0,41.0,10.0
2006-05-04,12.0,11.0,71.0,3.0,19.0,9.0,16.0,21.0,17.0,38.0,62.0,5.0,,23.0,7.0,7.0,28.0,46.0,57.0,8.0
2006-05-05,3.0,14.0,89.0,6.0,20.0,10.0,18.0,27.0,18.0,36.0,68.0,6.0,6.0,25.0,11.0,14.0,33.0,49.0,55.0,5.0
2006-05-06,6.0,13.0,96.0,2.0,19.0,7.0,9.0,13.0,14.0,20.0,65.0,5.0,,29.0,7.0,10.0,25.0,42.0,43.0,3.0
2006-05-07,8.0,15.0,95.0,7.0,11.0,13.0,8.0,6.0,16.0,18.0,58.0,2.0,,12.0,10.0,7.0,32.0,32.0,58.0,6.0
2006-05-08,5.0,9.0,81.0,12.0,21.0,7.0,5.0,22.0,22.0,27.0,69.0,2.0,,21.0,9.0,13.0,39.0,36.0,45.0,6.0
2006-05-09,12.0,13.0,93.0,3.0,17.0,4.0,10.0,33.0,24.0,53.0,80.0,2.0,5.0,35.0,9.0,16.0,22.0,41.0,44.0,11.0
2006-05-10,13.0,17.0,105.0,9.0,13.0,5.0,15.0,25.0,10.0,40.0,67.0,5.0,3.0,18.0,6.0,16.0,28.0,36.0,53.0,9.0
2006-05-11,8.0,14.0,91.0,73.0,20.0,5.0,9.0,25.0,13.0,36.0,74.0,4.0,10.0,24.0,12.0,9.0,28.0,44.0,49.0,7.0
2006-05-12,7.0,6.0,67.0,5.0,15.0,7.0,10.0,24.0,19.0,19.0,68.0,7.0,8.0,32.0,9.0,14.0,44.0,50.0,47.0,3.0
2006-05-13,10.0,19.0,108.0,3.0,15.0,10.0,4.0,17.0,17.0,12.0,52.0,,3.0,16.0,9.0,17.0,30.0,45.0,57.0,4.0
2006-05-14,7.0,12.0,70.0,5.0,14.0,10.0,5.0,6.0,12.0,19.0,58.0,3.0,,22.0,12.0,10.0,32.0,36.0,61.0,2.0
2006-05-15,8.0,12.0,66.0,6.0,18.0,8.0,2.0,25.0,24.0,24.0,54.0,1.0,,22.0,8.0,18.0,35.0,44.0,53.0,3.0
2006-05-16,7.0,15.0,88.0,2.0,12.0,3.0,17.0,28.0,27.0,31.0,49.0,5.0,3.0,27.0,12.0,9.0,38.0,40.0,50.0,5.0
2006-05-17,10.0,16.0,93.0,4.0,18.0,2.0,10.0,25.0,15.0,39.0,73.0,5.0,15.0,30.0,10.0,11.0,27.0,49.0,42.0,8.0
2006-05-18,7.0,19.0,92.0,4.0,21.0,9.0,6.0,25.0,21.0,29.0,55.0,6.0,3.0,25.0,8.0,13.0,39.0,47.0,42.0,7.0
2006-05-19,6.0,26.0,72.0,4.0,21.0,8.0,9.0,19.0,15.0,33.0,67.0,5.0,7.0,26.0,19.0,9.0,41.0,36.0,31.0,8.0
2006-05-20,8.0,16.0,91.0,6.0,22.0,16.0,14.0,10.0,18.0,27.0,63.0,1.0,7.0,20.0,10.0,5.0,27.0,40.0,57.0,2.0
2006-05-21,14.0,19.0,132.0,8.0,21.0,12.0,5.0,7.0,25.0,19.0,65.0,,,21.0,3.0,16.0,40.0,30.0,73.0,3.0
2006-05-22,10.0,26.0,86.0,14.0,20.0,7.0,11.0,27.0,19.0,35.0,64.0,9.0,,27.0,6.0,17.0,47.0,64.0,64.0,2.0
2006-05-23,4.0,20.0,115.0,3.0,17.0,8.0,12.0,24.0,22.0,55.0,69.0,5.0,5.0,23.0,11.0,10.0,49.0,55.0,55.0,8.0
2006-05-24,10.0,14.0,91.0,7.0,12.0,6.0,19.0,36.0,13.0,38.0,47.0,5.0,5.0,25.0,14.0,13.0,39.0,42.0,43.0,7.0
2006-05-25,14.0,20.0,120.0,5.0,19.0,4.0,7.0,21.0,19.0,26.0,51.0,2.0,8.0,23.0,9.0,12.0,32.0,45.0,50.0,6.0
2006-05-26,2.0,16.0,68.0,7.0,18.0,7.0,9.0,18.0,15.0,26.0,58.0,6.0,6.0,27.0,9.0,6.0,38.0,49.0,56.0,5.0
2006-05-27,16.0,17.0,79.0,1.0,23.0,13.0,7.0,10.0,22.0,22.0,59.0,4.0,,19.0,6.0,14.0,38.0,40.0,56.0,4.0
2006-05-28,15.0,30.0,79.0,5.0,18.0,13.0,5.0,13.0,17.0,11.0,57.0,1.0,,32.0,9.0,13.0,31.0,35.0,71.0,6.0
2006-05-29,17.0,13.0,69.0,4.0,16.0,9.0,8.0,5.0,21.0,13.0,65.0,6.0,,25.0,12.0,11.0,27.0,35.0,49.0,7.0
2006-05-30,5.0,18.0,84.0,12.0,23.0,8.0,5.0,20.0,28.0,35.0,66.0,2.0,6.0,26.0,8.0,19.0,36.0,46.0,65.0,7.0
