Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2006-04-26,2.0,4.0,25.0,2.0,2.0,3.0,3.0,2.0,5.0,15.0,12.0,1.0,9.0,1.0,1.0,13.0,23.0,,10.0,1.0
2006-04-27,3.0,1.0,23.0,,3.0,2.0,2.0,8.0,6.0,7.0,11.0,,6.0,1.0,3.0,11.0,25.0,,12.0,1.0
2006-04-28,2.0,5.0,21.0,2.0,5.0,3.0,3.0,5.0,3.0,2.0,16.0,,5.0,2.0,14.0,10.0,18.0,2.0,10.0,1.0
2006-04-29,2.0,4.0,41.0,,4.0,3.0,5.0,9.0,4.0,5.0,11.0,,5.0,3.0,2.0,7.0,15.0,3.0,16.0,1.0
2006-04-30,1.0,4.0,46.0,3.0,5.0,5.0,1.0,2.0,8.0,5.0,18.0,1.0,3.0,4.0,2.0,9.0,11.0,,16.0,1.0
2006-05-01,1.0,4.0,18.0,1.0,7.0,,1.0,9.0,9.0,6.0,20.0,2.0,3.0,6.0,6.0,10.0,15.0,,14.0,1.0
2006-05-02,1.0,7.0,30.0,1.0,12.0,3.0,3.0,8.0,3.0,4.0,19.0,1.0,9.0,4.0,3.0,11.0,22.0,1.0,17.0,4.0
2006-05-03,4.0,2.0,18.0,4.0,2.0,2.0,1.0,12.0,3.0,10.0,22.0,3.0,8.0,2.0,6.0,6.0,16.0,,20.0,
2006-05-04,,5.0,37.0,1.0,4.0,2.0,5.0,12.0,4.0,9.0,16.0,,6.0,1.0,3.0,10.0,16.0,,15.0,
2006-05-05,3.0,4.0,21.0,1.0,4.0,1.0,1.0,6.0,5.0,5.0,20.0,,7.0,,6.0,21.0,10.0,1.0,7.0,
2006-05-06,2.0,9.0,20.0,1.0,4.0,5.0,5.0,4.0,6.0,7.0,15.0,,8.0,3.0,6.0,9.0,19.0,,14.0,4.0
2006-05-07,1.0,5.0,41.0,,2.0,4.0,3.0,4.0,5.0,4.0,12.0,1.0,2.0,4.0,6.0,9.0,13.0,,24.0,
2006-05-08,3.0,5.0,16.0,2.0,7.0,3.0,2.0,7.0,8.0,4.0,18.0,1.0,4.0,3.0,2.0,13.0,25.0,2.0,17.0,1.0
2006-05-09,2.0,5.0,41.0,,5.0,1.0,6.0,6.0,6.0,11.0,20.0,1.0,2.0,1.0,6.0,15.0,19.0,,16.0,3.0
2006-05-10,4.0,6.0,26.0,,7.0,2.0,,7.0,7.0,7.0,17.0,,5.0,2.0,9.0,11.0,30.0,,13.0,2.0
2006-05-11,1.0,,33.0,,4.0,3.0,1.0,3.0,,5.0,20.0,2.0,8.0,3.0,4.0,11.0,25.0,,12.0,5.0
2006-05-12,3.0,3.0,15.0,,4.0,2.0,4.0,12.0,3.0,3.0,19.0,,6.0,5.0,6.0,8.0,17.0,,12.0,
2006-05-13,2.0,6.0,27.0,2.0,2.0,4.0,4.0,7.0,3.0,6.0,19.0,1.0,2.0,1.0,6.0,7.0,19.0,2.0,20.0,
2006-05-14,1.0,7.0,18.0,2.0,6.0,2.0,5.0,4.0,7.0,4.0,9.0,1.0,7.0,6.0,3.0,13.0,14.0,,11.0,1.0
2006-05-15,,1.0,28.0,,5.0,1.0,3.0,5.0,5.0,6.0,11.0,1.0,9.0,3.0,2.0,9.0,12.0,1.0,15.0,2.0
2006-05-16,3.0,2.0,29.0,4.0,3.0,1.0,1.0,9.0,2.0,2.0,15.0,1.0,6.0,6.0,5.0,25.0,19.0,1.0,19.0,1.0
2006-05-17,4.0,3.0,34.0,2.0,4.0,3.0,5.0,9.0,4.0,8.0,15.0,2.0,5.0,2.0,4.0,12.0,21.0,,11.0,2.0
2006-05-18,3.0,2.0,32.0,2.0,5.0,2.0,7.0,5.0,2.0,9.0,13.0,4.0,6.0,2.0,5.0,8.0,22.0,,13.0,1.0
2006-05-19,,2.0,25.0,3.0,5.0,2.0,1.0,2.0,7.0,6.0,19.0,1.0,6.0,,1.0,15.0,23.0,,16.0,
2006-05-20,,2.0,40.0,3.0,2.0,2.0,9.0,,3.0,2.0,16.0,1.0,3.0,2.0,2.0,9.0,14.0,,20.0,1.0
2006-05-21,2.0,4.0,57.0,1.0,5.0,6.0,3.0,2.0,2.0,3.0,12.0,,6.0,4.0,3.0,12.0,13.0,,20.0,
2006-05-22,4.0,2.0,35.0,3.0,8.0,2.0,3.0,5.0,5.0,5.0,21.0,1.0,7.0,2.0,7.0,8.0,20.0,,26.0,1.0
2006-05-23,1.0,6.0,20.0,3.0,5.0,2.0,5.0,10.0,8.0,1.0,15.0,,11.0,2.0,2.0,9.0,20.0,1.0,20.0,3.0
